COMMON_NAME,BREEDING_CODE,SUITABILITY_TEXT,SUITABILITY
Wilsons Plover,FS,,0
Wilsons Plover,FY,,0
Wilsons Plover,NB,,0
Wilsons Plover,NE,,0
Wilsons Plover,NY,,0
Wilsons Plover,ON,,0
Wilsons Plover,PE,,0
Wilsons Plover,UN,,0
American Oystercatcher,F,S,0
American Oystercatcher,H,,0
American Oystercatcher,S,,0
American Oystercatcher,A,,0
American Oystercatcher,B,U,2
American Oystercatcher,C,,0
American Oystercatcher,M,,0
American Oystercatcher,N,,0
American Oystercatcher,P,,0
American Oystercatcher,S7,,0
American Oystercatcher,T,,0
American Oystercatcher,CF,,0
American Oystercatcher,CN,,0
American Oystercatcher,DD,,0
American Oystercatcher,FL,,0
American Oystercatcher,FS,,0
American Oystercatcher,FY,,0
American Oystercatcher,NB,,0
American Oystercatcher,NE,,0
American Oystercatcher,NY,,0
American Oystercatcher,ON,,0
American Oystercatcher,PE,,0
American Oystercatcher,UN,,0
Gull-billed Tern,F,S,0
Gull-billed Tern,H,,0
Gull-billed Tern,S,,0
Gull-billed Tern,A,,0
Gull-billed Tern,B,U,2
Gull-billed Tern,C,,0
Gull-billed Tern,M,,0
Gull-billed Tern,N,,0
Gull-billed Tern,P,,0
Gull-billed Tern,S7,,0
Gull-billed Tern,T,,0
Gull-billed Tern,CF,,0
Gull-billed Tern,CN,,0
Gull-billed Tern,DD,,0
Gull-billed Tern,FL,,0
Gull-billed Tern,FS,,0
Gull-billed Tern,FY,,0
Gull-billed Tern,NB,,0
Gull-billed Tern,NE,,0
Gull-billed Tern,NY,,0
Gull-billed Tern,ON,,0
Gull-billed Tern,PE,,0
Gull-billed Tern,UN,,0
Caspian Tern,F,S,0
Caspian Tern,H,,0
Caspian Tern,S,,0
Caspian Tern,A,,0
Caspian Tern,B,U,2
Caspian Tern,C,,0
Caspian Tern,M,,0
Caspian Tern,N,,0
Caspian Tern,P,,0
Caspian Tern,S7,,0
Caspian Tern,T,,0
Caspian Tern,CF,F,1
Caspian Tern,CN,,0
Caspian Tern,DD,,0
Caspian Tern,FL,,0
Caspian Tern,FS,,0
Caspian Tern,FY,,0
Caspian Tern,NB,,0
Caspian Tern,NE,,0
Caspian Tern,NY,,0
Caspian Tern,ON,,0
Caspian Tern,PE,,0
Caspian Tern,UN,,0
Herring Gull,F,S,0
Herring Gull,H,,0
Herring Gull,S,,0
Herring Gull,A,,0
Herring Gull,B,U,2
Herring Gull,C,,0
Herring Gull,M,,0
Herring Gull,N,,0
Herring Gull,P,,0
Herring Gull,S7,,0
Herring Gull,T,,0
Herring Gull,CF,,0
Herring Gull,CN,,0
Herring Gull,DD,,0
Herring Gull,FL,,0
Herring Gull,FS,,0
Herring Gull,FY,,0
Herring Gull,NB,,0
Herring Gull,NE,,0
Herring Gull,NY,,0
Herring Gull,ON,,0
Herring Gull,PE,,0
Herring Gull,UN,,0
Great Black-backed Gull,F,S,0
Great Black-backed Gull,H,,0
Great Black-backed Gull,S,,0
Great Black-backed Gull,A,,0
Great Black-backed Gull,B,U,2
Great Black-backed Gull,C,,0
Great Black-backed Gull,M,,0
Great Black-backed Gull,N,,0
Great Black-backed Gull,P,,0
Great Black-backed Gull,S7,,0
Great Black-backed Gull,T,,0
Great Black-backed Gull,CF,,0
Great Black-backed Gull,CN,,0
Great Black-backed Gull,DD,,0
Great Black-backed Gull,FL,,0
Great Black-backed Gull,FS,,0
Great Black-backed Gull,FY,,0
Great Black-backed Gull,NB,,0
Great Black-backed Gull,NE,,0
Great Black-backed Gull,NY,,0
Great Black-backed Gull,ON,,0
Great Black-backed Gull,PE,,0
Great Black-backed Gull,UN,,0
Laughing Gull,F,S,0
Laughing Gull,H,,0
Laughing Gull,S,,0
Laughing Gull,A,,0
Laughing Gull,B,U,2
Laughing Gull,C,,0
Laughing Gull,M,,0
Laughing Gull,N,,0
Laughing Gull,P,,0
Laughing Gull,S7,,0
Laughing Gull,T,,0
Laughing Gull,CF,,0
Laughing Gull,CN,,0
Laughing Gull,DD,,0
Laughing Gull,FL,,0
Laughing Gull,FS,,0
Laughing Gull,FY,,0
Laughing Gull,NB,,0
Laughing Gull,NE,,0
Laughing Gull,NY,,0
Laughing Gull,ON,,0
Laughing Gull,PE,,0
Laughing Gull,UN,,0
Black Skimmer,F,S,0
Black Skimmer,H,,0
Black Skimmer,S,,0
Black Skimmer,A,,0
Black Skimmer,B,U,2
Black Skimmer,C,,0
Black Skimmer,M,,0
Black Skimmer,N,,0
Black Skimmer,P,,0
Black Skimmer,S7,,0
Black Skimmer,T,,0
